filename,title,keywords,summary,creation_date,edit_time
12302020173727-central-nervous-system.md,Central Nervous System,##zettel #cns #anatomy #brain  #archive,,2020-12-30T00:00:00.0,2022-12-29T20:32:13.603
12302020174059-autonomic-nervous-system.md,Autonomic Nervous System,##zettel #ans #nervous #brain #nerves #archive,,2020-12-30T00:00:00.0,2022-12-29T20:32:16.351
12312020233931-event-related-potential.md,Event Related Potential,##zettel #event #related #potential #erp #archive,,2020-12-31T00:00:00.0,2022-12-29T20:32:19.339
12312020235220-single-trial-eeg.md,From Single-Trial EEG To Brain Area Dynamics,##bibliography #eeg #brain #data #ica #archive,Modeling brain EEG using EEGLAB on a Go/Nogo Dataset to model brain activity,2020-12-31T00:00:00.0,2022-12-29T20:32:25.306
01082023043553-julia-async-workflow.md,Asynchronous Workflow Using Julia Tutorial,#blog #archive #julia #programming #literate #workflow #asynchronous #weave #browser #sync #node,"A thorough tutorial on how to use Julia for asynchronous workflows to do many things, at once!",2023-01-07T00:00:00.0,2023-01-14T06:30:19.454
01152023193153-juliacon-study-proposal.md,100 Million Patients: Julia for International Health Studies,#archive #juliacon #health #equity #mental #juliahealth,JuliaCon proposal for giving a full length talk on using Julia in an international healthcare study,2023-01-15T00:00:00.0,2023-01-16T05:44:58.352
01012023000122-graph-theory-learning.md,Achieving an Undergraduate Level Understanding of Graph Theory ,#zettel #ultralearning #graph #theory #project #archive #blog,Ultralearning project to learn the equivalent of an undergraduate maths of computer science student understanding of graph theory.,2022-12-31T00:00:00.0,2023-02-18T22:22:13.461
01072023041127-making-math-anki.md,Making Math Flashcards Using Spaced Repetition Systems,#math #learning #anki #flashcards #spaced #repetition #proofs #theorems #definitions #project #archive #blog,Composite guide in using spaced repetition systems in learning maths,2023-01-06T00:00:00.0,2023-01-30T17:18:38.809
01102023212115-computable-phenotypes.md,Developing a Robust Computable Phenotype Definition Workflow to Describe Health and Disease in Observational Health Research,#computable #phenotype #observational #health #blog #equity #archive,Considerations and discussion on a workflow for developing computable phenotype definitions to define disease,2023-01-10T00:00:00.0,2023-03-30T19:37:59.941
04012023221538-learning-proofs-beginners.md,Learning What Every Undergraduate Mathematician Should Know about Proofs,#zettel #archive #project #blog #proof,Ultralearning project to learn the equivalent of an undergraduate maths or computer science student understanding of proofs and how to write them.,2023-04-01T00:00:00.0,2023-04-01T23:46:56.83
